X;Y;TYPE;SPEED;DIRTYPE;DIRECTION
715.851;5.067.673;3;0;0;0
890.186;5.307.172;3;0;0;0
921.707;4.867.645;3;0;0;0
1.163.056;4.812.806;3;0;0;0
993.175;5.155.727;3;0;0;0
920.046;4.768.478;3;0;0;0
1.106.999;4.945.502;3;0;0;0
920.231;4.879.336;3;0;0;0
763.103;5.195.634;3;0;0;0
870.918;5.000.167;3;0;0;0
973.582;5.239.929;3;0;0;0
1.241.279;5.133.444;3;0;0;0
678.200;5.121.576;3;0;0;0
994.972;5.152.250;3;0;0;0
1.410.156;5.127.646;3;0;0;0
1.237.834;5.132.083;3;0;0;0
841.260;4.846.440;3;0;0;0
1.344.472;5.254.528;3;0;0;0
901.640;4.880.056;3;0;0;0
735.119;5.254.486;3;0;0;0
811.140;4.919.167;3;0;0;0
887.000;5.309.722;3;0;0;0
823.167;5.007.417;3;0;0;0
850.057;5.056.306;3;0;0;0
879.041;5.308.652;3;0;0;0
821.598;5.006.251;3;0;0;0
866.973;4.940.500;3;0;0;0
996.107;4.980.147;3;0;0;0
1.410.152;5.127.630;3;0;0;0
710.278;5.073.722;3;0;0;0
899.279;4.879.972;3;0;0;0
875.842;4.962.261;3;0;0;0
723.700;5.127.374;3;0;0;0
1.147.083;4.822.361;3;0;0;0
787.501;4.798.778;3;0;0;0
823.612;5.008.028;3;0;0;0
878.801;5.306.326;3;0;0;0
875.632;4.962.572;3;0;0;0
786.160;4.798.869;3;0;0;0
943.833;4.897.278;3;0;0;0
964.796;5.241.402;3;0;0;0
1.065.668;5.388.222;3;0;0;0
858.862;4.986.405;3;0;0;0
858.820;4.986.422;3;0;0;0
694.195;4.924.222;3;0;0;0
863.903;5.304.348;3;0;0;0
822.696;5.007.791;3;0;0;0
1.316.293;5.237.579;3;0;0;0
700.640;5.144.472;3;0;0;0
696.056;4.925.556;3;0;0;0
1.337.529;5.245.500;3;0;0;0
1.239.392;5.135.141;3;0;0;0
1.238.590;5.129.607;3;0;0;0
881.913;5.304.847;3;0;0;0
943.756;5.478.118;3;0;0;0
1.070.809;5.387.471;3;0;0;0
1.157.788;4.994.701;3;0;0;0
980.266;4.880.215;3;0;0;0
943.949;5.478.277;3;0;0;0
708.779;5.073.972;3;0;0;0
873.177;5.011.882;3;0;0;0
912.130;4.895.243;3;0;0;0
1.237.667;5.134.444;3;0;0;0
1.135.389;5.364.778;3;0;0;0
675.000;5.126.500;3;0;0;0
1.032.445;4.773.389;3;0;0;0
1.158.510;4.813.235;3;0;0;0
852.223;4.806.306;3;0;0;0
821.936;5.312.432;3;0;0;0
996.312;4.882.280;3;0;0;0
715.807;5.067.667;3;0;0;0
929.827;4.882.103;3;0;0;0
900.668;4.868.444;3;0;0;0
878.362;5.010.556;3;0;0;0
1.157.445;4.816.222;3;0;0;0
1.334.222;5.251.787;3;0;0;0
880.612;5.005.389;3;0;0;0
693.278;5.092.083;3;0;0;0
846.001;4.805.556;3;0;0;0
1.011.794;5.432.817;3;0;0;0
822.241;5.313.177;3;0;0;0
1.146.285;5.388.377;3;0;0;0
881.701;5.307.867;3;0;0;0
856.640;5.201.778;3;0;0;0
1.020.417;5.003.556;3;0;0;0
698.168;4.924.333;3;0;0;0
